BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.81,5,-272.43,-541.92,157.13,-114.79,165.11,-105.07,0.52,-0.52
2.82,5,-260.65,-553.71,148.81,-114.89,114.38,-114.38,0.52,-0.52
2.82,5,-250.35,-565.49,130.46,-113.08,104.96,-119.96,0.52,-0.52
2.82,5,-235.62,-575.8,132.14,-110.98,152.96,-111.12,0.52,-0.52
2.82,5,-219.42,-587.58,141.6,-112.63,154.19,-112.14,0.5,-0.5
2.82,5,-203.22,-597.88,147.94,-111.9,165.23,-105.14,0.5,-0.5
2.81,5,-188.5,-609.67,150.3,-111.3,150.15,-120.12,0.5,-0.5
2.81,5,-175.24,-621.45,148.29,-111.21,131.14,-116.57,0.5,-0.5
2.81,5,-164.93,-630.28,134.78,-110.91,106.44,-91.23,0.5,-0.5
2.82,5,-154.63,-642.06,121.23,-107.98,105.15,-105.15,0.5,-0.5
2.81,5,-138.43,-652.37,126.83,-107.53,157.17,-100.02,0.5,-0.5
2.81,5,-123.7,-664.15,137.61,-109.6,148.8,-119.04,0.5,-0.5
2.82,5,-107.5,-675.93,145.49,-110.34,165,-120,0.5,-0.5
2.82,5,-91.3,-687.71,150.31,-112.69,164.49,-119.63,0.5,-0.5
2.82,5,-78.05,-698.02,149.43,-112.79,136.75,-106.36,0.5,-0.5
2.81,5,-69.21,-708.33,132.73,-111.19,90.21,-105.25,0.5,-0.5
2.82,5,-57.43,-718.64,121.08,-108.73,120.18,-105.12,0.5,-0.5
2.82,5,-42.71,-730.42,129.11,-108.95,135.26,-105.2,0.5,-0.5
2.81,5,-26.51,-742.2,139.34,-110.65,150.14,-120.11,0.5,-0.5
2.82,5,-10.31,-752.51,146.07,-112.4,165.22,-105.14,0.5,-0.5
2.81,5,4.42,-764.29,149.65,-111.8,163.64,-119.01,0.5,-0.5
2.81,5,16.2,-774.6,144.77,-111.55,122.91,-107.55,0.5,-0.5
2.82,5,26.51,-786.38,128.65,-109.18,103.98,-118.84,0.5,-0.5
2.81,5,39.76,-796.69,120.94,-107.26,127.37,-113.21,0.5,-0.5
2.82,5,47.12,-801.11,124.79,-103.24,86.69,-57.8,-0.49,0.5
2.82,5,33.87,-790.8,53.81,-42.5,-132.43,103,-0.49,0.5
